strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,uav_velocity
rl_based,45,1000,1.0,0,0.0,0,0,9,1,0.1111111111111111,290.528319499685,9,28,11.200000000000005,3330.714330154593,0,0.0,0,0.0,11.748046797619672,1.256039064047607,0.19999999999999718,0.31239178419113744,0.10187892318226703,108.45458984375,199.9999999999972,1.8851779744515442,10
rl_based,46,1000,1.0,0,0.0,0,0,10,3,0.3,371.7373199173222,10,28,11.200000000000005,3330.714330154593,1,108.46573728653311,1,8.330971468240023e-10,17.849372722740355,2.023012545545191,0.19999999999999718,0.3106055969093053,0.10239243345837529,433.862929288709,199.9999999999972,2.3888454783732183,10
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,34249.6,0,0.0,0,0.0,17.33726973764958,1.907254605247008,0.19999999999999718,0.30000000000000565,0.12924561406249988,0.0,199.9999999999972,0.39999999999999436,10
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,49,19.599999999999994,32154.1,0,0.0,0,0.0,19.275329496001934,1.8824934100799606,0.19999999999999718,0.30000000000000565,0.1292674249999998,0.0,199.9999999999972,0.39999999999999436,10
agentic_manager,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,49,19.599999999999994,32435.7,0,0.0,0,0.0,15.727326639446524,1.52645346721107,0.19999999999999718,0.30000000000000565,0.12925690625000058,0.0,199.9999999999972,0.39999999999999436,10
agentic_manager,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,48,19.199999999999996,32151.900000000005,0,0.0,0,0.0,15.728431395431574,1.5124313720913676,0.19999999999999718,0.30000000000000565,0.12917777500000052,0.0,199.9999999999972,0.39999999999999436,10
agentic_manager,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,34269.4,0,0.0,0,0.0,14.901623702444411,1.717967525951111,0.19999999999999718,0.30000000000000565,0.12930936250000072,0.0,199.9999999999972,0.39999999999999436,10
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,16.43669045794204,1.7012661908411584,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,16.30390549111622,1.710921890177676,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.550680992174549,1.4369863801565084,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,18.1847223305446,2.002305553389108,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.371418236521347,1.573571635269573,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,16.43669045794204,1.7012661908411584,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
